answer_id,department,orig_is_multi,E-3,E-2,E-6,E-1,E-7,E-5
9e94ec58-f03e-11ef-970f-010101010000,내과,1,3,4,4,5,3,4
9e98209f-f03e-11ef-878e-010101010000,외과,1,2,1,1,1,1,1
9e9a4399-f03e-11ef-8d03-010101010000,피부과,1,1,1,1,1,1,1
9e9dc5f2-f03e-11ef-93dc-010101010000,외과,0,1,1,1,2,2,2
9e9e3b1d-f03e-11ef-b72e-010101010000,외과,0,1,1,1,1,1,1
9ea41bc2-f03e-11ef-bafe-010101010000,외과,1,11,20,31,14,30,35
9ea469d7-f03e-11ef-bbe6-010101010000,내과,0,1,1,1,1,1,1
9ea55436-f03e-11ef-b06e-010101010000,치과,0,1,1,1,1,1,1
9ea5a25b-f03e-11ef-9d74-010101010000,피부과,1,6,4,2,7,1,2
9eab2096-f03e-11ef-80b1-010101010000,피부과,1,1,2,19,7,48,18
9eb029e6-f03e-11ef-817b-010101010000,안과,1,77,34,3,39,2,4
9eb2a413-f03e-11ef-8b55-010101010000,외과,0,681,132,142,199,97,222
9eb78615-f03e-11ef-ba60-010101010000,외과,0,1,1,1,1,1,1
9eb9f712-f03e-11ef-bc62-010101010000,치과,1,26,8,3,12,4,5
9ec0e13a-f03e-11ef-903f-010101010000,외과,0,9,65,19,49,6,17
9ec219b4-f03e-11ef-8229-010101010000,안과,0,1,1,1,1,1,1
9ec35231-f03e-11ef-a48e-010101010000,안과,1,3,2,1,1,1,1
9ec4b1c8-f03e-11ef-9267-010101010000,외과,0,1,1,1,1,1,1
9ec5c331-f03e-11ef-add5-010101010000,피부과,1,3,43,20,62,14,53
9ec61155-f03e-11ef-8fcb-010101010000,내과,1,1,1,1,1,1,1
9ec8f787-f03e-11ef-9e2b-010101010000,치과,1,7,13,3,15,5,7
9ecec410-f03e-11ef-b661-010101010000,외과,0,1,1,1,1,1,1
9eceeb21-f03e-11ef-9b6d-010101010000,안과,0,45,15,38,8,43,33
9ed4f27f-f03e-11ef-a3a7-010101010000,외과,0,1,1,1,1,1,1
9ed7b186-f03e-11ef-9549-010101010000,외과,1,3,4,11,7,11,7
9edcbaa8-f03e-11ef-96df-010101010000,내과,1,1,1,1,1,1,1
9edf3ff3-f03e-11ef-bdee-010101010000,외과,0,1,1,1,1,1,1
9ee0ed9a-f03e-11ef-a3e4-010101010000,내과,0,40,2,3,12,2,9
9ee31074-f03e-11ef-b219-010101010000,외과,1,10,1,1,1,1,1
9ee5f6a6-f03e-11ef-a682-010101010000,외과,0,4,3,3,3,3,3
9ee72f2b-f03e-11ef-92a1-010101010000,치과,1,1,1,1,1,2,1
9ee9791d-f03e-11ef-8a39-010101010000,외과,1,3,2,1,1,1,1
9eec1132-f03e-11ef-973e-010101010000,내과,1,1,1,1,1,1,1
9eed70e4-f03e-11ef-a731-010101010000,외과,1,52,6,22,12,36,17
9ef12e55-f03e-11ef-b331-010101010000,외과,1,84,383,256,797,134,288
9ef6ac9f-f03e-11ef-b903-010101010000,외과,1,12,4,2,6,13,2
9ef8f68a-f03e-11ef-876d-010101010000,안과,1,39,12,12,11,18,10
9ef9b9dd-f03e-11ef-a95e-010101010000,치과,1,4,1,1,2,1,1
9efa07fe-f03e-11ef-8516-010101010000,외과,1,1,1,3,1,11,1
9efa7d2d-f03e-11ef-942b-010101010000,외과,1,1,6,2,10,2,2
9efc522d-f03e-11ef-8bff-010101010000,외과,1,1,1,1,1,1,1
9effc1a5-f03e-11ef-adf3-010101010000,외과,1,10,26,3,10,7,5
9f005de9-f03e-11ef-aac1-010101010000,외과,0,1,1,1,1,1,1
9f02329f-f03e-11ef-aa1f-010101010000,외과,1,325,26,4,16,5,2
9f0259b3-f03e-11ef-8621-010101010000,안과,1,173,23,2,34,1,10
9f05dc20-f03e-11ef-b84d-010101010000,안과,0,20,10,1,3,1,1
9f0714a1-f03e-11ef-8f06-010101010000,피부과,1,54,2,18,3,18,18
9f09859d-f03e-11ef-ba93-010101010000,안과,0,1,1,1,1,1,1
9f0d0d0b-f03e-11ef-9eb2-010101010000,치과,0,21,1,1,1,1,1
9f0d3417-f03e-11ef-8c55-010101010000,외과,0,1,1,1,1,1,1
9f0d5b27-f03e-11ef-a28a-010101010000,외과,1,2571,160,190,457,210,216
9f0d5b28-f03e-11ef-9c13-010101010000,외과,0,74,1,41,2,59,47
9f0ff323-f03e-11ef-abfc-010101010000,외과,0,30,1,1,1,1,1
9f101a33-f03e-11ef-b1d2-010101010000,외과,1,9,1,1,4,1,1
9f12d973-f03e-11ef-b09f-010101010000,치과,1,157,10,8,10,18,14
9f1375b3-f03e-11ef-bea8-010101010000,외과,0,14,72,28,90,26,40
9f13c3e3-f03e-11ef-8816-010101010000,안과,1,41,1,1,1,1,1
9f1438f2-f03e-11ef-a814-010101010000,외과,0,1,1,1,1,1,1
9f14ae1b-f03e-11ef-ab4e-010101010000,피부과,0,2,3,1,3,1,2
9f176d4e-f03e-11ef-bf16-010101010000,외과,0,5,2,2,3,1,2
9f17bb5e-f03e-11ef-95bb-010101010000,내과,0,30,1,2,1,1,2
9f1941f5-f03e-11ef-a2ea-010101010000,안과,0,1,1,1,1,1,1
9f1b1725-f03e-11ef-942f-010101010000,외과,0,1,5,1,2,1,1
9f1db13e-f03e-11ef-a75d-010101010000,외과,0,4,1,1,1,1,1
9f1fad09-f03e-11ef-9766-010101010000,외과,0,2,1,1,1,1,1
9f1ffb2a-f03e-11ef-bf58-010101010000,외과,1,3,2,3,2,2,3
9f20e58d-f03e-11ef-b9ae-010101010000,외과,1,8,1,1,1,1,4
9f22ba3b-f03e-11ef-8281-010101010000,피부과,1,4,3,3,3,3,3
9f230853-f03e-11ef-86b3-010101010000,외과,0,292,19,4,11,7,3
9f230854-f03e-11ef-baf1-010101010000,피부과,1,112,4,1,2,1,3
9f2440ee-f03e-11ef-8e31-010101010000,외과,0,10,2,2,2,1,2
9f263c9c-f03e-11ef-b873-010101010000,외과,0,49,25,32,22,41,21
9f26b1ca-f03e-11ef-8570-010101010000,외과,0,2,4,1,3,1,1
