answer_id,department,orig_is_multi,E-6,E-8,E-2
9d7c9f75-f03e-11ef-a87e-010101010000,내과,0,1,1,1
9d7cc67f-f03e-11ef-ad91-010101010000,외과,0,1,1,1
9d7ee98f-f03e-11ef-850d-010101010000,내과,1,1,2,2
9d7fd3e6-f03e-11ef-a802-010101010000,치과,0,1,1,1
9d8034d6-f03e-11ef-ab5b-010101010000,피부과,0,1,1,1
9d805beb-f03e-11ef-9b72-010101010000,피부과,0,1,1,1
9d827ebf-f03e-11ef-9563-010101010000,외과,0,4,7,1
9d847a93-f03e-11ef-8487-010101010000,피부과,1,4,7,2
9d8516dc-f03e-11ef-9d42-010101010000,내과,0,3,1,1
9d858c08-f03e-11ef-a007-010101010000,외과,1,15,22,16
9d89358d-f03e-11ef-bf66-010101010000,내과,0,1,1,3
9d8b7f7c-f03e-11ef-ac57-010101010000,내과,0,1,1,1
9d946d83-f03e-11ef-b868-010101010000,내과,1,844,1191,4710
9d96de76-f03e-11ef-8773-010101010000,내과,1,1,1,3
9d977abd-f03e-11ef-aa64-010101010000,내과,1,1,2,1
9d992865-f03e-11ef-84b4-010101010000,외과,0,9,7,6
9d9cf92b-f03e-11ef-a1dc-010101010000,외과,1,1,1,1
9d9d4755-f03e-11ef-abff-010101010000,외과,0,1,1,1
9d9d6e58-f03e-11ef-a662-010101010000,피부과,0,1,2,1
9da0688b-f03e-11ef-b270-010101010000,치과,0,19,20,9
9da52373-f03e-11ef-9cd3-010101010000,외과,0,3,3,17
9db05b15-f03e-11ef-ab5b-010101010000,외과,0,1,1,2
9db27dfc-f03e-11ef-8bd3-010101010000,외과,1,3,7,1
9db4a0eb-f03e-11ef-9c4a-010101010000,치과,0,1,1,2
9dba4626-f03e-11ef-8829-010101010000,피부과,0,4,5,26
9dbd67c6-f03e-11ef-a043-010101010000,외과,1,2,6,6
9dc779e0-f03e-11ef-983c-010101010000,외과,0,16,36,7
9dc99cc0-f03e-11ef-b6a4-010101010000,외과,1,7,21,26
9dcaae5c-f03e-11ef-8f4e-010101010000,안과,0,1,1,1
9dcbe6de-f03e-11ef-9f36-010101010000,외과,1,605,664,2202
9dcce53d-f03e-11ef-ae77-010101010000,외과,1,2,3,1
9dce6bfb-f03e-11ef-8d51-010101010000,치과,0,29,31,8
9dcf5639-f03e-11ef-92ce-010101010000,안과,1,1,1,1
9dd08ed0-f03e-11ef-9821-010101010000,외과,0,1,1,4
9dd76c80-f03e-11ef-8bef-010101010000,외과,0,760,795,953
9dd9689e-f03e-11ef-9cb2-010101010000,피부과,1,4,6,6
9de192f3-f03e-11ef-a3bf-010101010000,외과,1,6,7,14
9de674e7-f03e-11ef-a148-010101010000,외과,0,1,1,1
9deb923c-f03e-11ef-a3ad-010101010000,외과,0,1,1,2
9ded6715-f03e-11ef-bb3b-010101010000,외과,1,47,64,33
9ded8e04-f03e-11ef-a281-010101010000,피부과,0,1,1,2
9dee2a55-f03e-11ef-9f69-010101010000,내과,1,105,827,45
9df3cf92-f03e-11ef-a5e8-010101010000,외과,1,3,15,25
9dfd0b6e-f03e-11ef-a753-010101010000,외과,1,12,18,15
9dfe43e4-f03e-11ef-aa95-010101010000,외과,0,853,493,1759
9e02b0b8-f03e-11ef-bc91-010101010000,외과,1,13,75,49
9e03e940-f03e-11ef-9ce0-010101010000,안과,1,36,83,16
9e0548ce-f03e-11ef-b45f-010101010000,외과,1,2,1,1
9e306527-f03e-11ef-88a7-010101010000,안과,1,1,1,1
9e3ea9e7-f03e-11ef-9b9b-010101010000,외과,1,659,1007,269
9e3fbb50-f03e-11ef-81ed-010101010000,외과,0,1,1,2
9e419012-f03e-11ef-b6d9-010101010000,피부과,0,1,3,5
9e41de34-f03e-11ef-be53-010101010000,외과,0,4,6,6
9e496c97-f03e-11ef-a55e-010101010000,외과,1,22,35,76
